Run,Group,Tag
SRR29658249,IGM48,1
SRR29658250,IGM48,1
SRR29658251,IGM46,0
SRR29658252,IGM46,0
SRR29658253,IGM46,0
SRR29658254,IGM46,0
SRR29658255,IGM43,1
SRR29658256,IGM43,1
SRR29658257,IGM43,1
SRR29658258,IGM43,1
SRR29658259,IGM15,0
SRR29658260,IGM43,1
SRR29658261,IGM42,0
SRR29658262,IGM42,0
SRR29658263,IGM42,0
SRR29658264,IGM41,1
SRR29658265,IGM41,1
SRR29658266,IGM41,1
SRR29658267,IGM41,1
SRR29658268,IGM41,1
SRR29658269,IGM3,1
SRR29658270,IGM14,1
SRR29658271,IGM3,1
SRR29658272,IGM3,1
SRR29658273,IGM3,1
SRR29658274,IGM3,1
SRR29658275,IGM38,0
SRR29658276,IGM38,0
SRR29658277,IGM38,0
SRR29658278,IGM38,0
SRR29658279,IGM38,0
SRR29658280,IGM35,1
SRR29658281,IGM14,1
SRR29658282,IGM35,1
SRR29658283,IGM35,1
SRR29658284,IGM34,0
SRR29658285,IGM34,0
SRR29658286,IGM34,0
SRR29658287,IGM34,0
SRR29658288,IGM33,0
SRR29658289,IGM33,0
SRR29658290,IGM33,0
SRR29658291,IGM33,0
SRR29658292,IGM24,0
SRR29658293,IGM10,1
SRR29658294,IGM23,1
SRR29658295,IGM23,1
SRR29658296,IGM23,1
SRR29658297,IGM23,1
SRR29658298,IGM22,1
SRR29658299,IGM22,1
SRR29658300,IGM22,1
SRR29658301,IGM22,1
SRR29658302,IGM21,0
SRR29658303,IGM8,1
SRR29658304,IGM8,1
SRR29658305,IGM8,1
SRR29658306,IGM21,0
SRR29658307,IGM10,1
SRR29658308,IGM8,1
SRR29658309,IGM7,1
SRR29658310,IGM7,1
SRR29658311,IGM7,1
SRR29658312,IGM7,1
SRR29658313,IGM74,0
SRR29658314,IGM74,0
SRR29658315,IGM74,0
SRR29658316,IGM74,0
SRR29658317,IGM74,0
SRR29658318,IGM21,0
SRR29658319,IGM71,1
SRR29658320,IGM71,1
SRR29658321,IGM71,1
SRR29658322,IGM71,1
SRR29658323,IGM70,1
SRR29658324,IGM14,1
SRR29658325,IGM32,0
SRR29658326,IGM32,0
SRR29658327,IGM32,0
SRR29658328,IGM32,0
SRR29658329,IGM32,0
SRR29658330,IGM31,0
SRR29658331,IGM31,0
SRR29658332,IGM31,0
SRR29658333,IGM31,0
SRR29658334,IGM30,1
SRR29658335,IGM14,1
SRR29658336,IGM30,1
SRR29658337,IGM30,1
SRR29658338,IGM30,1
SRR29658339,IGM30,1
SRR29658340,IGM28,1
SRR29658341,IGM28,1
SRR29658342,IGM28,1
SRR29658343,IGM28,1
SRR29658344,IGM27,0
SRR29658345,IGM27,0
SRR29658346,IGM14,1
SRR29658347,IGM27,0
SRR29658348,IGM27,0
SRR29658349,IGM25,1
SRR29658350,IGM25,1
SRR29658351,IGM25,1
SRR29658352,IGM25,1
SRR29658353,IGM24,0
