Run,Group,Tag
SRR16873580,SRR16873580,1
SRR16873581,SRR16873581,1
SRR16873582,SRR16873582,1
SRR16873583,SRR16873583,1
SRR16873584,SRR16873584,1
SRR16873585,SRR16873585,1
SRR16873586,SRR16873586,1
SRR16873587,SRR16873587,1
SRR16873588,SRR16873588,1
SRR16873589,SRR16873589,1
SRR16873590,SRR16873590,1
SRR16873591,SRR16873591,1
SRR16873592,SRR16873592,1
SRR16873593,SRR16873593,1
SRR16873594,SRR16873594,1
SRR16873595,SRR16873595,1
SRR16873596,SRR16873596,1
SRR16873597,SRR16873597,1
SRR16873598,SRR16873598,1
SRR16873599,SRR16873599,1
SRR16873600,SRR16873600,1
SRR16873601,SRR16873601,1
SRR16873602,SRR16873602,1
SRR16873603,SRR16873603,1
SRR16873604,SRR16873604,1
SRR16873605,SRR16873605,1
SRR16873606,SRR16873606,1
SRR16873607,SRR16873607,1
SRR16873608,SRR16873608,1
SRR16873609,SRR16873609,1
SRR16873610,SRR16873610,1
SRR16873611,SRR16873611,1
SRR16873612,SRR16873612,1
SRR16873613,SRR16873613,1
SRR16873614,SRR16873614,1
SRR16873615,SRR16873615,1
SRR16873616,SRR16873616,1
SRR16873617,SRR16873617,1
SRR16873618,SRR16873618,1
SRR16873619,SRR16873619,1
SRR16873620,SRR16873620,0
SRR16873621,SRR16873621,0
SRR16873622,SRR16873622,0
SRR16873623,SRR16873623,0
SRR16873624,SRR16873624,0
SRR16873625,SRR16873625,1
SRR16873626,SRR16873626,0
SRR16873627,SRR16873627,0
SRR16873628,SRR16873628,0
SRR16873629,SRR16873629,0
SRR16873630,SRR16873630,0
SRR16873631,SRR16873631,0
SRR16873632,SRR16873632,0
SRR16873633,SRR16873633,0
SRR16873634,SRR16873634,0
SRR16873635,SRR16873635,0
SRR16873636,SRR16873636,1
SRR16873637,SRR16873637,0
SRR16873638,SRR16873638,0
SRR16873639,SRR16873639,0
SRR16873640,SRR16873640,0
SRR16873641,SRR16873641,0
SRR16873642,SRR16873642,0
SRR16873643,SRR16873643,0
SRR16873644,SRR16873644,0
SRR16873645,SRR16873645,0
SRR16873646,SRR16873646,0
SRR16873647,SRR16873647,1
SRR16873648,SRR16873648,0
SRR16873649,SRR16873649,0
SRR16873650,SRR16873650,0
SRR16873651,SRR16873651,0
SRR16873652,SRR16873652,1
SRR16873653,SRR16873653,1
SRR16873654,SRR16873654,1
SRR16873655,SRR16873655,1
SRR16873656,SRR16873656,1
SRR16873657,SRR16873657,1
SRR16873658,SRR16873658,1
SRR16873659,SRR16873659,1
SRR16873660,SRR16873660,1
SRR16873661,SRR16873661,1
