Run,Group,Tag
SRR10911129,SRR10911129,1
SRR10911130,SRR10911130,1
SRR10911131,SRR10911131,0
SRR10911132,SRR10911132,1
SRR10911133,SRR10911133,0
SRR10911134,SRR10911134,1
SRR10911135,SRR10911135,0
SRR10911136,SRR10911136,1
SRR10911137,SRR10911137,1
SRR10911138,SRR10911138,1
SRR10911139,SRR10911139,1
SRR10911140,SRR10911140,0
SRR10911141,SRR10911141,1
SRR10911142,SRR10911142,1
SRR10911143,SRR10911143,0
SRR10911144,SRR10911144,0
SRR10911145,SRR10911145,0
SRR10911146,SRR10911146,0
SRR10911147,SRR10911147,0
SRR10911148,SRR10911148,0
SRR10911149,SRR10911149,0
SRR10911150,SRR10911150,0
SRR10911151,SRR10911151,1
SRR10911152,SRR10911152,0
SRR10911153,SRR10911153,0
SRR10911154,SRR10911154,0
SRR10911155,SRR10911155,0
SRR10911156,SRR10911156,0
SRR10911157,SRR10911157,0
SRR10911158,SRR10911158,0
SRR10911159,SRR10911159,0
SRR10911160,SRR10911160,0
SRR10911161,SRR10911161,0
SRR10911162,SRR10911162,1
SRR10911163,SRR10911163,0
SRR10911164,SRR10911164,0
SRR10911165,SRR10911165,0
SRR10911166,SRR10911166,0
SRR10911167,SRR10911167,0
SRR10911168,SRR10911168,0
SRR10911169,SRR10911169,0
SRR10911170,SRR10911170,0
SRR10911171,SRR10911171,1
SRR10911172,SRR10911172,1
SRR10911173,SRR10911173,1
SRR10911174,SRR10911174,1
SRR10911175,SRR10911175,1
SRR10911176,SRR10911176,1
SRR10911177,SRR10911177,1
SRR10911178,SRR10911178,1
SRR10911179,SRR10911179,1
SRR10911180,SRR10911180,1
SRR10911181,SRR10911181,1
SRR10911182,SRR10911182,1
SRR10911183,SRR10911183,1
SRR10911184,SRR10911184,1
SRR10911185,SRR10911185,1
SRR10911186,SRR10911186,1
SRR10911187,SRR10911187,1
SRR10911188,SRR10911188,1
SRR10911189,SRR10911189,1
SRR10911190,SRR10911190,1
SRR10911191,SRR10911191,1
SRR10911192,SRR10911192,1
SRR10911193,SRR10911193,1
SRR10911194,SRR10911194,1
SRR10911195,SRR10911195,1
SRR10911196,SRR10911196,1
SRR10911197,SRR10911197,1
SRR10911198,SRR10911198,0
SRR10911199,SRR10911199,0
SRR10911200,SRR10911200,1
SRR10911201,SRR10911201,1
SRR10911202,SRR10911202,0
SRR10911203,SRR10911203,1
SRR10911204,SRR10911204,1
SRR10911205,SRR10911205,0
SRR10911206,SRR10911206,0
SRR10911207,SRR10911207,1
SRR10911208,SRR10911208,1
SRR10911209,SRR10911209,1
SRR10911210,SRR10911210,0
SRR10911211,SRR10911211,1
SRR10911212,SRR10911212,0
SRR10911213,SRR10911213,1
SRR10911214,SRR10911214,1
SRR10911215,SRR10911215,1
SRR10911216,SRR10911216,1
SRR10911217,SRR10911217,1
SRR10911218,SRR10911218,1
SRR10911219,SRR10911219,0
SRR10911220,SRR10911220,1
SRR10911221,SRR10911221,0
SRR10911222,SRR10911222,0
SRR10911223,SRR10911223,0
SRR10911224,SRR10911224,0
SRR10911225,SRR10911225,1
SRR10911226,SRR10911226,0
SRR10911227,SRR10911227,0
SRR10911228,SRR10911228,0
SRR10911229,SRR10911229,0
SRR10911230,SRR10911230,0
SRR10911231,SRR10911231,0
SRR10911232,SRR10911232,0
SRR10911233,SRR10911233,0
SRR10911234,SRR10911234,0
SRR10911235,SRR10911235,0
SRR10911236,SRR10911236,1
SRR10911237,SRR10911237,0
SRR10911238,SRR10911238,0
SRR10911239,SRR10911239,0
SRR10911240,SRR10911240,0
SRR10911241,SRR10911241,0
SRR10911242,SRR10911242,1
SRR10911243,SRR10911243,1
SRR10911244,SRR10911244,1
SRR10911245,SRR10911245,1
SRR10911246,SRR10911246,1
SRR10911247,SRR10911247,1
SRR10911248,SRR10911248,1
SRR10911249,SRR10911249,1
SRR10911250,SRR10911250,0
SRR10911251,SRR10911251,1
SRR10911252,SRR10911252,1
SRR10911253,SRR10911253,0
SRR10911254,SRR10911254,1
SRR10911255,SRR10911255,1
SRR10911256,SRR10911256,0
SRR10911257,SRR10911257,1
SRR10911258,SRR10911258,1
SRR10911259,SRR10911259,0
SRR10911260,SRR10911260,0
SRR10911261,SRR10911261,1
SRR10911262,SRR10911262,1
SRR10911263,SRR10911263,0
SRR10911264,SRR10911264,1
SRR10911265,SRR10911265,1
SRR10911266,SRR10911266,0
SRR10911267,SRR10911267,1
SRR10911268,SRR10911268,1
SRR10911269,SRR10911269,1
SRR10911270,SRR10911270,0
SRR10911271,SRR10911271,0
SRR10911272,SRR10911272,1
SRR10911273,SRR10911273,0
SRR10911274,SRR10911274,1
SRR10911275,SRR10911275,1
SRR10911276,SRR10911276,0
SRR10911277,SRR10911277,0
SRR10911278,SRR10911278,1
SRR10911279,SRR10911279,1
SRR10911280,SRR10911280,0
SRR10911281,SRR10911281,1
SRR10911282,SRR10911282,1
SRR10911283,SRR10911283,0
SRR10911284,SRR10911284,1
SRR10911285,SRR10911285,1
SRR10911286,SRR10911286,0
SRR10911287,SRR10911287,0
SRR10911288,SRR10911288,1
SRR10911289,SRR10911289,1
SRR10911290,SRR10911290,0
SRR10911291,SRR10911291,1
SRR10911292,SRR10911292,1
SRR10911293,SRR10911293,1
SRR10911294,SRR10911294,1
SRR10911295,SRR10911295,0
SRR10911296,SRR10911296,1
SRR10911297,SRR10911297,1
SRR10911298,SRR10911298,0
SRR10911299,SRR10911299,0
SRR10911300,SRR10911300,1
SRR10911301,SRR10911301,1
SRR10911302,SRR10911302,0
SRR10911303,SRR10911303,1
SRR10911304,SRR10911304,1
SRR10911305,SRR10911305,1
SRR10911306,SRR10911306,1
SRR10911307,SRR10911307,1
SRR10911308,SRR10911308,1
SRR10911309,SRR10911309,1
SRR10911310,SRR10911310,1
SRR10911311,SRR10911311,1
SRR10911312,SRR10911312,1
SRR10911313,SRR10911313,1
SRR10911314,SRR10911314,1
SRR10911315,SRR10911315,1
SRR10911316,SRR10911316,1
SRR10911317,SRR10911317,1
SRR10911318,SRR10911318,1
SRR10911319,SRR10911319,1
SRR10911320,SRR10911320,1
SRR10911321,SRR10911321,1
SRR10911322,SRR10911322,1
SRR10911323,SRR10911323,1
SRR10911324,SRR10911324,1
SRR10911325,SRR10911325,1
SRR10911326,SRR10911326,1
SRR10911327,SRR10911327,1
SRR10911328,SRR10911328,1
SRR10911329,SRR10911329,1
SRR10911330,SRR10911330,1
SRR10911331,SRR10911331,1
SRR10911332,SRR10911332,1
SRR10911333,SRR10911333,1
SRR10911334,SRR10911334,1
SRR10911335,SRR10911335,1
SRR10911336,SRR10911336,1
SRR10911337,SRR10911337,1
SRR10911338,SRR10911338,1
SRR10911339,SRR10911339,1
SRR10911340,SRR10911340,1
SRR10911341,SRR10911341,1
SRR10911342,SRR10911342,1
SRR10911343,SRR10911343,1
SRR10911344,SRR10911344,1
SRR10911345,SRR10911345,1
SRR10911346,SRR10911346,1
SRR10911347,SRR10911347,1
SRR10911348,SRR10911348,1
SRR10911349,SRR10911349,1
SRR10911350,SRR10911350,1
SRR10911351,SRR10911351,1
SRR10911352,SRR10911352,1
SRR10911353,SRR10911353,1
SRR10911354,SRR10911354,1
SRR10911355,SRR10911355,1
SRR10911356,SRR10911356,1
SRR10911357,SRR10911357,1
SRR10911358,SRR10911358,1
SRR10911359,SRR10911359,1
SRR10911360,SRR10911360,1
SRR10911361,SRR10911361,1
SRR10911362,SRR10911362,1
SRR10911363,SRR10911363,1
SRR10911364,SRR10911364,1
SRR10911365,SRR10911365,1
SRR10911366,SRR10911366,1
SRR10911367,SRR10911367,1
SRR10911368,SRR10911368,1
SRR10911369,SRR10911369,1
SRR10911370,SRR10911370,0
SRR10911371,SRR10911371,1
SRR10911372,SRR10911372,1
SRR10911373,SRR10911373,1
SRR10911374,SRR10911374,1
SRR10911375,SRR10911375,1
SRR10911376,SRR10911376,0
SRR10911377,SRR10911377,0
SRR10911378,SRR10911378,0
SRR10911379,SRR10911379,0
SRR10911380,SRR10911380,0
SRR10911381,SRR10911381,0
SRR10911382,SRR10911382,0
SRR10911383,SRR10911383,0
SRR10911384,SRR10911384,1
SRR10911385,SRR10911385,0
SRR10911386,SRR10911386,0
SRR10911387,SRR10911387,1
SRR10911388,SRR10911388,1
SRR10911389,SRR10911389,0
SRR10911390,SRR10911390,0
SRR10911391,SRR10911391,1
SRR10911392,SRR10911392,1
SRR10911393,SRR10911393,0
SRR10911394,SRR10911394,1
SRR10911395,SRR10911395,1
SRR10911396,SRR10911396,0
SRR10911397,SRR10911397,1
SRR10911398,SRR10911398,1
SRR10911399,SRR10911399,1
SRR10911400,SRR10911400,0
SRR10911401,SRR10911401,1
SRR10911402,SRR10911402,0
SRR10911403,SRR10911403,1
SRR10911404,SRR10911404,1
SRR10911405,SRR10911405,0
SRR10911406,SRR10911406,1
SRR10911407,SRR10911407,0
SRR10911408,SRR10911408,1
SRR10911409,SRR10911409,1
SRR10911410,SRR10911410,0
SRR10911411,SRR10911411,0
SRR10911412,SRR10911412,1
SRR10911413,SRR10911413,1
SRR10911414,SRR10911414,0
SRR10911415,SRR10911415,1
SRR10911416,SRR10911416,1
SRR10911417,SRR10911417,0
SRR10911418,SRR10911418,0
SRR10911419,SRR10911419,0
SRR10911420,SRR10911420,1
SRR10911421,SRR10911421,1
SRR10911422,SRR10911422,0
SRR10911423,SRR10911423,1
SRR10911424,SRR10911424,1
SRR10911425,SRR10911425,0
SRR10911426,SRR10911426,1
SRR10911427,SRR10911427,1
SRR10911428,SRR10911428,0
SRR10911429,SRR10911429,0
SRR10911430,SRR10911430,1
SRR10911431,SRR10911431,1
SRR10911432,SRR10911432,1
SRR10911433,SRR10911433,1
SRR10911434,SRR10911434,0
SRR10911435,SRR10911435,1
SRR10911436,SRR10911436,1
SRR10911437,SRR10911437,0
SRR10911438,SRR10911438,1
SRR10911439,SRR10911439,1
SRR10911440,SRR10911440,1
SRR10911441,SRR10911441,1
SRR10911442,SRR10911442,1
SRR10911443,SRR10911443,1
SRR10911444,SRR10911444,1
SRR10911445,SRR10911445,1
SRR10911446,SRR10911446,1
SRR10911447,SRR10911447,1
SRR10911448,SRR10911448,1
SRR10911449,SRR10911449,1
SRR10911450,SRR10911450,1
SRR10911451,SRR10911451,1
SRR10911452,SRR10911452,1
SRR10911453,SRR10911453,1
SRR10911454,SRR10911454,1
SRR10911455,SRR10911455,1
SRR10911456,SRR10911456,1
SRR10911457,SRR10911457,1
SRR10911458,SRR10911458,0
SRR10911459,SRR10911459,1
SRR10911460,SRR10911460,1
SRR10911461,SRR10911461,1
SRR10911462,SRR10911462,1
SRR10911463,SRR10911463,0
SRR10911464,SRR10911464,0
SRR10911465,SRR10911465,1
SRR10911466,SRR10911466,0
SRR10911467,SRR10911467,1
SRR10911468,SRR10911468,0
SRR10911469,SRR10911469,1
SRR10911470,SRR10911470,1
SRR10911471,SRR10911471,0
SRR10911472,SRR10911472,0
SRR10911473,SRR10911473,1
SRR10911474,SRR10911474,1
SRR10911475,SRR10911475,1
SRR10911476,SRR10911476,1
SRR10911477,SRR10911477,0
SRR10911478,SRR10911478,1
SRR10911479,SRR10911479,1
SRR10911480,SRR10911480,0
SRR10911481,SRR10911481,1
SRR10911482,SRR10911482,0
SRR10911483,SRR10911483,1
